Search interest in players in the Women's World Cup 2015 since 2004,
Player,Search Interest
Hope SOLO,100
Alex MORGAN,55.88090026
Abby WAMBACH,18.35107348
Nahomi KAWASUMI,9.632421904
Louisa NECIB,7.260533486
Megan RAPINOE,6.057081203
Homare SAWA,5.06124489
Aya SAMESHIMA,4.680959962
Heather MITTS,4.123974905
Kelly SMITH,3.636213785
MARTA,3.511607773
Laure BOULLEAU,3.500783971
Alex KRIEGER,3.257850045
Karina MARUYAMA,3.251778027
Ellyse PERRY,2.863600937
Josefine OQVIST,2.719912008
Fatmire BAJRAMAJ,2.716257097
Yuki NAGASATO,2.559809882
Gaetane THINEY,2.449386095
Nadine ANGERER,2.422958788
Tobin HEATH,2.421828677
Lotta SCHELIN,2.374858615
Mana IWABUCHI,2.194653813
Anouk Hoogendijk,2.15067655
Birgit PRINZ,2.133453662
Azusa IWASHIMIZU,2.095569691
Carli LLOYD,2.031879308
Christine SINCLAIR,1.978700284
Christie RAMPONE,1.923653254
Kim KULIG,1.916553499
Simone LAUDEHR,1.86109697
Aya MIYAMA,1.816872413
Saki KUMAGAI,1.786358093
Lauren CHENEY,1.561237371
Yukari KINGA,1.55874448
CRISTIANE,1.317819492
Alexandra POPP,1.247655569
Celia OKOYINO DA MBABI,1.244475304
Kaylyn KYLE,1.21853195
Lena GOESSLING,1.12997913
Inka GRINGS,1.123306158
Alex SCOTT,1.122350218
Sonia BOMPASTOR,1.085299869
Linda BRESONIK,1.072141391
Amy RODRIGUEZ,1.055354593
Shinobu OHNO,1.039158112
Camille ABILY,1.027891572
Veronica PEREZ,1.000275654
Martina MUELLER,0.9139205673
Wang Fei,0.8978184834
Nayeli RANGEL,0.87242423
Asuna TANAKA,0.8587113331
Becky SAUERBRUNN,0.7193022
Megumi TAKASE,0.7105697677
Eniola ALUKO,0.7063870283
Eugenie LE SOMMER,0.6813570694
Shannon BOXX,0.6667959247
Emily ZURRER,0.6471253499
Lisa DE VANNA,0.6329112157
Sandrine SOUBEYRAND,0.62445001
Corine FRANCO,0.6184537753
Lisa DAHLKVIST,0.617624141
Caroline SEGER,0.6092719578
Rachel UNITT,0.6085393801
Nilla FISCHER,0.5782324688
Casey STONEY,0.5693976617
Jessica LANDSTROM,0.5661934654
Ayumi KAIHORI,0.5582428038
Kerstin GAREFREKES,0.5502562446
Rumi UTSUGI,0.5340291837
Elise THORSNES,0.528236369
Alexia Putellas,0.4977486399
Ji So-Yun,0.4811400004
Verónica Boquete (c),0.4792028576
Sophie SCHMIDT,0.476339024
Jill LOYDEN,0.4574316063
Kelly PARKER,0.4412896361
Amy LE PEILBET,0.4383845867
Stephanie HOUGHTON,0.4311877755
Faye WHITE,0.4293822574
Megumi KAMIONOBE,0.4277216594
Annike KRAHN,0.4240029302
Rachel YANKEY,0.417784662
Stephanie COX,0.3909797644
Babett PETER,0.3760529957
Bianca SCHMIDT,0.3752286796
Lori LINDSEY,0.3700381474
Elodie THOMIS,0.3661253051
Saskia BARTUSIAK,0.3654498977
Melissa TANCREDI,0.3645817067
Fara WILLIAMS,0.3633505508
Maribel DOMINGUEZ,0.3585043699
RENATA COSTA,0.3575643837
Jonelle FILIGNO,0.3549092882
Jeon Ga-Eul,0.3502479137
Ariane HINGST,0.3490699395
Therese SJOGRAN,0.3366719597
Ursula HOLL,0.3270939387
Elise BUSSAGLIA,0.3161504779
Kelley O'HARA,0.312044852
Diana MATHESON,0.3081187143
Mizuho SAKAGUCHI,0.3008540965
Chelsea STEWART,0.2938713416
Erin McLEOD,0.2928223329
Karen CARNEY,0.2831047099
Sara THUNEBRO,0.2782425746
BEATRIZ,0.2681074754
Rachel BUEHLER,0.2642797238
Laure LEPAILLEUR,0.2635152372
DAIANE,0.2632027948
Samantha KERR,0.2571334352
Melanie BEHRINGER,0.2529653209
Shirley Cruz Traña,0.2352983659
Adriana Martín,0.2310371836
Marie-Laure DELIE,0.2251100851
Nicole BARNHART,0.2223964897
GRAZIELLE,0.2191789979
Wendie RENARD,0.214423226
Lene MYKJALAND,0.2119276755
Lady ANDRADE,0.1973917921
Kristy HILL,0.195522456
Yoreli RINCON,0.1936969947
Débora García,0.1797766893
Laura GEORGES,0.1791371796
Sofia JAKOBSSON,0.173712648
Kyah SIMON,0.170980439
Sonia Bermúdez,0.1703395997
Desiree SCOTT,0.1695498518
Cecilia SANTIAGO,0.1689196488
Vivianne Miedema,0.1583032554
Lieke Martens,0.1582341192
Hedvig LINDAHL,0.1554899444
Karina LeBLANC,0.1492437558
Ali RILEY,0.1455010949
Heather O'REILLY,0.1442367004
Miho FUKUMOTO,0.1441409734
Karen BARDSLEY,0.1430627148
THAIS GUEDES,0.1424524549
Monica ALVARADO,0.1420522628
Manon Melis,0.1400712451
Alina GARCIAMENDEZ,0.1396218599
Sophie BRADLEY,0.1328505022
Melissa BARBIERI,0.1326430936
Jill SCOTT,0.1293232271
Rosie WHITE,0.1280694689
Hannah WILKINSON,0.1272531301
Lydia WILLIAMS,0.1243307966
Ingrid HJELMSETH,0.1205947834
