District,Code,State,FIRST,SECOND,THIRD,FOURTH,FIFTH,SIXTH,SEVENTH,EIGHTH,NINTH,TENTH,2003 Invasion of Iraq,Abortion,Abortion-rights movement,Affirmative action,Agricultural subsidies,Aid,Alternative energy,Anti-abortion movements,Basic income,Body worn video,Campaign finance,Campus sexual assault,Capital gains tax,Capital punishment,Charter schools,Chelsea Manning,Climate change,Common core,Confederate states,Corporate tax,DACA,Dakota Access pipeline,Dream act,Drug policy,Drug testing welfare recipients,Economic stimulus,Edward Snowden,Electoral college,Electoral fraud,Electronic Classroom of Tomorrow,Eminent domain,Equal pay for equal work,Estate tax in the United States,Euthanasia,Executive Order 13769,Federal reserve system,First amendment,Flag desecration,Flags of the confederate states,Free trade,Freedom of religion,Gender identity,Gender workplace diversity,Genetically modified organism,Gerrymandering,Global warming,Government spending,Gun control,Health care,Hydraulic fracturing,Immigration,Immigration to the United States,Income tax,Iraq War,ISIS,Islam,Israel boycott,Joint Comprehensive Plan of Action (Iran Deal),Labor Unions in the United States,Legal history of cannabis in the United States,Legality of cannabis,LGBT adoption rights,LGBT rights,Lobbying,Lockheed Martin F-35,Maternity leave in the United States,Medicaid,Medicare,Mental health,Mexico-United States barrier,Military budget,Military service,Minimum wage,NAFTA,National Debt of the United States,National security,National Security Agency,NATO,Net neutrality,No fly list,North Korea and weapons of mass destruction,Nuclear power,Obamacare,Offshore bank,Offshore drilling,Overtime pay,Paris Agreement,Patriot act,Pensions,Planned Parenthood,Political corruption,Prescription costs,PRISM,Prison overcrowding,Private Prisons,Property taxes,Public transportation,Right to work,Russian interference in the 2016 United States elections,Russian military action in Syria,Safe spaces,Same-sex marriage,Sanctuary cities,September 11 attacks,Sick leave,Single-payer healthcare,Social programs in the United States,Social security,Solitary confinement,Space exploration,Student loans in the United States,Syrian civil war,Tariff,Tax Cuts and Jobs Act of 2017,Term limits in the United States,Terrorism,Torture,TPP,Transgender people in the military,U.S. national anthem protests,United Nations,Vaccine controversies,Voter turnout,Voting age,War in Afghanistan,Welfare,Whistleblower,Women in combat,Women's health
Alaska At-Large,AK-AL,AK,Medicaid,Medicare,Health care,Immigration,Mental health,Abortion,Planned Parenthood,Terrorism,Social security,Property taxes,1.8,6.01,0.04,0.12,0.01,0.8,0.45,0.11,0.14,0.05,0.11,0.01,0.16,1.33,0.49,0.01,0.71,0.97,1.5,0.15,0.12,0.01,0.03,0.03,0,0.01,0.09,0.78,0.14,0,0.03,0.07,0.49,0.14,0.03,2.26,0.65,0.01,1.04,0.02,0.06,0.07,0,0.19,0.09,0.73,0.55,1.65,13.18,0.16,11.68,1.56,3.55,1.54,0.44,2.5,0,0,0.01,0,1.75,0,0,0.16,1.19,0,19.16,16.53,10.51,0.02,0.04,0.24,2.31,0.09,1.58,0.14,0.17,0.78,0.07,0,0,0.99,2.01,0.03,0.06,2.18,0.05,0.54,2.29,4.69,0.03,0,0.01,0,0.01,4.07,0.35,0.03,0.01,0.04,0.01,0.15,0.51,2.63,0.15,0,0.22,4.25,0.01,0.06,0.44,0.01,0.41,0,0.01,4.54,2.19,0.02,0,0.02,0.56,0.02,0.14,0.05,0.03,0.03,0.03,0.01,3.81
Alabama 1st,AL-01,AL,Medicare,Medicaid,Health care,Immigration,Mental health,Property taxes,Federal reserve system,Abortion,Capital punishment,Pensions,1.25,4.09,0.14,0.17,0,2.01,0,0.33,0.03,0.1,0.01,0,0.17,3.82,0.19,0.08,0.44,3.24,2.15,0.1,0.21,0,0.03,0,0,0.03,0.1,0.41,0.15,0,0.09,0.03,0.07,0.25,0.04,4.26,0.43,0.03,0.34,0.06,0.12,0.05,0,0.39,1.66,0.66,1.54,0.27,9.2,1.34,7.42,0.24,2.27,0.06,0.69,1.19,0,0.02,0,0,3.18,0,0,0.29,0.11,0,13.44,20.29,6.69,0.01,0.06,0.21,1.67,0.04,1.53,0.07,0.28,0.45,0.06,0,0,0.72,1.29,0,0.01,1.54,0.09,0.11,3.59,3.02,0.09,0.02,0,0.02,0.04,4.48,1.48,0.03,0,0,0.04,0.38,0,1.1,0.14,0,0.25,2.87,0.05,0.11,0.13,0.04,0.34,0,0.06,1.07,0.58,0.01,0,0.03,2.07,0.06,0.17,0.06,0.01,0.1,0.23,0.03,0.23
Alabama 2nd,AL-02,AL,Health care,Immigration,Medicaid,Social security,Medicare,Mental health,Abortion,Property taxes,September 11 attacks,Torture,0.19,5.14,0,0.2,0,1.92,0,0.21,0,0.22,1.22,0,0.22,2.03,0.43,0.2,0.63,2.14,2.47,0,0.41,0,0,0,0.21,0,0.62,0.2,0,0,0.21,0,0.21,0.22,0.39,1.23,1.93,0.2,1.23,0,0,0.21,0,0,0.2,0.61,0.37,0.67,12.14,0.2,11.65,0.62,2.14,0.81,1.74,1.74,0,0,0,0,0.59,0,0,0.39,0.19,0,11.6,5.55,5.26,0,0,0.19,2.96,0,0.99,0.98,1.63,1.75,0,0,0,1.72,1.96,0,0,0.2,0.2,0.59,2.16,0.2,0.39,0,0,0.21,0,3.73,0.61,0,0,0,0.39,0.98,0.19,3.11,0.21,0,0.6,6.35,0,0,0,0.2,1.74,0,0,1.76,3.04,0,0,0,1.58,0.2,0.19,0,0.21,0.45,0.19,0,0.21
Alabama 3rd,AL-03,AL,Health care,Immigration,Medicare,Medicaid,Social security,Mental health,Abortion,Nuclear power,Property taxes,September 11 attacks,0.67,5.19,0.02,0.31,0,2.06,0.53,0.07,0,0.22,0.13,0.02,0.4,2.84,0.63,0,1.41,2.83,3.48,0.09,0.11,0,0.05,0.05,0.02,0.02,0.13,1.01,0.55,0,0.25,0.17,0.04,0.17,0.02,2.33,1.22,0.11,1.17,0.02,0.09,0.28,0,1.48,0.66,0.55,0.49,0.59,9.01,0.07,8.54,0.11,3.42,0.2,2.15,3.6,0,0,0.02,0,1.51,0.02,0.02,0.13,0.26,0,8.38,8.44,6.37,0.18,0.6,0.79,2.19,0.04,0.33,0.11,0.95,0.36,0.11,0,0,5.01,2.5,0,0.04,0.33,0.15,0.21,2.46,0.39,0.06,0.02,0,0,0.02,4.33,0.42,0,0,0,0.02,0.36,0.02,3.67,0.39,0,0.47,7.56,0.2,0.02,0.34,0.13,0.88,0,0.35,3.13,0.97,0,0,0.02,2.08,0.02,0.11,0.02,0.02,0.34,0.04,0,0.74
Alabama 4th,AL-04,AL,Abortion,Immigration,Health care,Gender identity,Capital punishment,Iraq War,Minimum wage,September 11 attacks,2003 Invasion of Iraq,Abortion-rights movement,6.51,26.65,0,0,0,0,0,0,0,0,0,0,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.57,0,0,0,0,0,0,13.77,0,14.37,0,0,6.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama 5th,AL-05,AL,Abortion,Immigration,Health care,Gender identity,Capital punishment,Iraq War,Minimum wage,September 11 attacks,2003 Invasion of Iraq,Abortion-rights movement,6.51,26.65,0,0,0,0,0,0,0,0,0,0,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.57,0,0,0,0,0,0,13.77,0,14.37,0,0,6.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama 6th,AL-06,AL,Health care,Immigration,Medicaid,Social security,Medicare,Mental health,Abortion,Property taxes,September 11 attacks,Torture,0.19,5.14,0,0.2,0,1.92,0,0.21,0,0.22,1.22,0,0.22,2.03,0.43,0.2,0.63,2.14,2.47,0,0.41,0,0,0,0.21,0,0.62,0.2,0,0,0.21,0,0.21,0.22,0.39,1.23,1.93,0.2,1.23,0,0,0.21,0,0,0.2,0.61,0.37,0.67,12.14,0.2,11.65,0.62,2.14,0.81,1.74,1.74,0,0,0,0,0.59,0,0,0.39,0.19,0,11.6,5.55,5.26,0,0,0.19,2.96,0,0.99,0.98,1.63,1.75,0,0,0,1.72,1.96,0,0,0.2,0.2,0.59,2.16,0.2,0.39,0,0,0.21,0,3.73,0.61,0,0,0,0.39,0.98,0.19,3.11,0.21,0,0.6,6.35,0,0,0,0.2,1.74,0,0,1.76,3.04,0,0,0,1.58,0.2,0.19,0,0.21,0.45,0.19,0,0.21
Alabama 7th,AL-07,AL,Medicaid,Health care,Mental health,Medicare,Immigration,Abortion,Property taxes,Social security,Islam,Income tax,0.17,7.01,0.28,0.41,0.07,1.1,0,0.47,0.2,0.15,0.56,0.03,0.4,2.35,0.56,0.11,0.46,2.34,2.92,0.28,0.39,0,0,0.04,0,0.04,0.28,0.66,0.14,0,0.26,0.34,0.21,0.48,0,1.51,1.99,0.07,0.97,0.22,0.55,0.18,0,1.1,0.31,0.8,0.57,0.53,18.51,0.24,9.77,0.39,3.33,0.87,0.98,4.03,0,0,0.04,0,0.61,0,0,0.78,0.67,0,19.33,11.14,11.21,0.14,0.14,0.51,2.92,0.74,0.54,1.05,2.85,1.64,0.27,0,0,1.11,3.1,0,0,0.6,0.1,0.24,2.13,0.59,0.27,0.04,0,0.18,0,6.3,0.96,0.03,0,0,0.03,0.57,0.07,2.75,0.42,0,0.28,6.21,0,0,0.16,0.07,1.19,0,0,2.43,0.87,0.16,0,0,1.62,0.1,0.4,0.14,0.17,0.31,0.47,0.03,0.91
Arkansas 1st,AR-01,AR,Medicaid,Mental health,Immigration,Terrorism,Medicare,Abortion,Gender identity,Health care,War in Afghanistan,Iraq War,5.93,11.71,0.08,0.09,0,0,0,0.09,0,0,0,0,0.09,0.61,0.34,0,0.18,1.67,0.27,0,0.36,0,0,0,0,0.09,0.09,0.68,0,0,0,0,0,0.18,0.08,2.71,0.47,0,0.53,0,0,9.46,0,0.33,1.21,0.09,0,0.39,9.08,0.08,16.75,0.18,0.75,8.87,0.25,0.58,0,0.09,0.09,0,0,1.67,0,0.08,1.34,0,17.67,12.35,17.46,0.09,0,0.17,1.27,0,1.59,0.17,0.09,0.08,0.08,0,0,4.72,3.75,0,0,0.08,0,0.08,0.34,0.17,0.08,0,0,0.08,0,3.4,0.26,0,0,0,0.09,0.33,0,0.67,0.26,0,0,5.39,0,0.19,0,0,0.51,0,0,13.92,0.44,0.09,0,0,7.14,0,0.08,0.08,9.08,0,0,0,0
Arkansas 2nd,AR-02,AR,Health care,Medicaid,Medicare,Immigration,Mental health,Property taxes,Minimum wage,Social security,Abortion,Islam,0.02,4.87,0.24,0.36,0.02,1.14,0.05,0.34,0.02,0.1,0.41,0,0.56,2.49,2.73,0.27,0.68,1.98,1.87,0.35,0.54,0,0.07,0.11,0,0,0.37,0.88,0.27,0,0.21,0.28,0.22,0.57,0.04,1.54,0.75,0.04,0.85,0.26,0.27,0.07,0,0.6,0.43,0.72,0.19,0.7,16.53,0.25,8.1,0.19,3.11,0.22,1.26,3.11,0,0,0,0,0.89,0.04,0.04,0.92,0.85,0,12.83,11.5,7.68,0.09,0.16,0.32,5.8,0.27,0.68,0.05,0.78,0.64,0.18,0,0,1.68,2.77,0.02,0.09,0.54,0.04,0.25,2,1.96,0.11,0,0.02,0.13,0.11,6.07,0.62,0.07,0,0,0.05,0.44,0.21,2.39,0.39,0,0.4,5.32,0.04,0.04,0.06,0.11,1.72,0,0.11,2.73,1.18,0.07,0,0,1.78,0.14,0.86,0.11,0.04,0.1,0.41,0.03,0.67
