"Search interest in each political candidate by state from 3/16/15-6/16/15
All values indexed to 100, where 100 is the max search interest",,,,,,,,,,,,,,,,,
state,Hillary Clinton,Bernie Sanders,Ben Carson,Ted Cruz,Carly Fiorina,Mike Huckabee,Rand Paul,Marco Rubio,Jeb Bush,Scott Walker,Chris Christie,Lindsey Graham,Rick Santorum,Martin O'Malley,George Pataki,Rick Perry,Lincoln Chafee
Vermont ,55.46,100.00,7.14,20.00,3.43,1.71,14.87,5.43,7.43,4.00,4.29,3.14,2.00,0.86,2.29,0.86,0.00
District of Columbia ,47.53,13.06,7.81,18.99,5.33,2.26,13.78,12.10,10.36,4.49,5.44,3.99,3.57,1.31,1.55,2.44,1.62
New Hampshire ,39.74,25.08,7.00,22.80,6.67,3.91,15.31,6.02,5.37,4.23,6.35,4.23,3.26,1.30,2.77,1.30,1.14
Iowa ,35.26,10.43,7.35,14.21,4.21,4.28,13.36,6.92,3.78,4.78,2.78,2.00,3.57,1.07,0.36,2.28,1.00
Montana ,32.73,13.38,6.19,15.86,3.72,5.21,10.90,6.94,3.96,2.73,2.97,1.24,2.97,0.00,0.74,1.73,0.00
Wyoming ,32.67,10.89,4.45,13.37,3.96,3.96,9.40,6.44,2.47,3.96,2.47,2.97,3.47,0.00,0.00,0.00,0.00
Rhode Island ,32.25,14.22,3.94,12.68,3.77,2.06,9.60,6.00,7.02,2.91,2.23,1.54,1.71,0.69,0.00,1.88,11.82
Connecticut ,32.16,12.24,4.23,12.81,3.64,1.94,10.06,6.35,4.52,2.88,3.00,1.35,1.53,0.47,0.94,0.70,1.06
Massachusetts ,31.82,13.24,4.01,14.27,3.99,1.73,8.88,6.23,5.42,2.70,2.85,2.07,2.16,0.54,0.45,1.14,0.78
Maryland ,31.80,11.52,10.89,14.66,3.79,1.75,8.91,6.64,5.25,2.82,2.52,2.56,2.52,2.14,0.78,1.52,1.04
Maine ,31.79,19.83,5.16,11.92,2.90,1.77,9.34,4.67,5.48,2.90,3.87,1.45,2.58,1.13,0.00,1.13,1.45
New York ,30.88,9.13,4.20,12.04,2.79,1.80,7.50,6.41,4.75,2.34,3.60,1.65,1.77,0.51,1.74,1.33,0.59
Arkansas ,30.77,6.84,7.63,10.09,2.92,12.00,8.75,5.61,2.80,2.13,1.01,1.79,1.12,0.00,0.78,0.67,0.56
Delaware ,29.50,10.03,10.62,19.77,3.83,1.47,15.05,7.08,4.42,2.65,5.90,2.06,2.36,0.00,0.88,0.00,0.88
Nebraska ,29.16,8.84,6.14,11.82,2.79,2.05,7.73,6.05,2.88,2.70,1.30,1.67,2.33,0.37,0.00,1.30,0.47
North Dakota ,28.47,7.11,8.08,14.22,1.94,1.94,8.08,2.91,3.23,3.55,1.62,0.97,1.29,0.97,0.00,0.00,0.00
West Virginia ,28.34,8.35,7.04,13.26,1.80,4.58,13.59,5.24,4.58,1.80,1.96,1.15,2.45,0.49,0.65,1.31,0.98
South Dakota ,28.29,6.29,7.68,11.52,3.49,2.44,8.38,4.54,3.49,3.49,1.40,1.05,2.79,0.00,0.00,0.00,0.00
Washington ,27.68,12.50,4.40,12.01,3.34,1.81,8.53,5.12,4.20,2.89,1.42,1.30,2.02,0.45,0.28,1.24,0.37
New Jersey ,27.18,8.90,4.84,11.97,3.32,1.52,7.02,5.49,4.58,2.42,18.30,1.29,1.76,0.36,0.91,0.93,0.61
New Mexico ,27.18,10.63,2.45,11.99,2.04,3.13,7.63,7.22,3.41,2.32,1.77,1.63,1.36,0.00,0.00,0.54,0.00
