District,Code,State,FIRST,SECOND,THIRD,FOURTH,FIFTH,SIXTH,SEVENTH,EIGHTH,NINTH,TENTH,2003 Invasion of Iraq,Abortion,Abortion-rights movement,Affirmative action,Agricultural subsidies,Aid,Alternative energy,Anti-abortion movements,Basic income,Body worn video,Campaign finance,Campus sexual assault,Capital gains tax,Capital punishment,Charter schools,Chelsea Manning,Climate change,Common core,Confederate states,Corporate tax,DACA,Dakota Access pipeline,Dream act,Drug policy,Drug testing welfare recipients,Economic stimulus,Edward Snowden,Electoral college,Electoral fraud,Electronic Classroom of Tomorrow,Eminent domain,Equal pay for equal work,Estate tax in the United States,Euthanasia,Executive Order 13769,Federal reserve system,First amendment,Flag desecration,Flags of the confederate states,Free trade,Freedom of religion,Gender identity,Gender workplace diversity,Genetically modified organism,Gerrymandering,Global warming,Government spending,Gun control,Health care,Hydraulic fracturing,Immigration,Immigration to the United States,Income tax,Iraq War,ISIS,Islam,Israel boycott,Joint Comprehensive Plan of Action (Iran Deal),Labor Unions in the United States,Legal history of cannabis in the United States,Legality of cannabis,LGBT adoption rights,LGBT rights,Lobbying,Lockheed Martin F-35,Maternity leave in the United States,Medicaid,Medicare,Mental health,Mexico-United States barrier,Military budget,Military service,Minimum wage,NAFTA,National Debt of the United States,National security,National Security Agency,NATO,Net neutrality,No fly list,North Korea and weapons of mass destruction,Nuclear power,Obamacare,Offshore bank,Offshore drilling,Overtime pay,Paris Agreement,Patriot act,Pensions,Planned Parenthood,Political corruption,Prescription costs,PRISM,Prison overcrowding,Private Prisons,Property taxes,Public transportation,Right to work,Russian interference in the 2016 United States elections,Russian military action in Syria,Safe spaces,Same-sex marriage,Sanctuary cities,September 11 attacks,Sick leave,Single-payer healthcare,Social programs in the United States,Social security,Solitary confinement,Space exploration,Student loans in the United States,Syrian civil war,Tariff,Tax Cuts and Jobs Act of 2017,Term limits in the United States,Terrorism,Torture,TPP,Transgender people in the military,U.S. national anthem protests,United Nations,Vaccine controversies,Voter turnout,Voting age,War in Afghanistan,Welfare,Whistleblower,Women in combat,Women's health
Alaska At-Large,AK-AL,AK,Medicaid,Common core,Health care,Medicare,Mental health,Capital punishment,Social security,Immigration,September 11 attacks,Legality of cannabis,5.71,2.73,0.35,0.35,0,1.23,0,0,0,0,0.4,0,0,8.4,1.66,0,5.21,23.82,0.18,0,0,0,0,0,0,0,0.18,0.36,0.54,0,0,0.55,0,0.88,0,0.7,0.54,0,0,0,0,0,0,0.35,0.18,2.13,0,0,13.86,0.9,8.04,5.64,1.49,5.72,0.52,6.34,0,0,0,0,6.49,0,0,0.17,0.68,0,48.48,12.88,9.95,0.18,0.18,0.18,1.25,0.17,1.11,0,0.53,0.35,0.18,0,0,1.06,1.25,0,0.52,0.34,0,0.17,1.61,2.42,0,0,0,0,0,1.57,1.26,0.18,0,0,0.18,0.7,0,7.74,0.18,0,0,8.05,0,0.17,0.18,0.18,0.36,0,0,0.86,0.35,0,0,0,2.61,0,0.17,0,0,0.35,0.19,0,0
Alabama 1st,AL-01,AL,Medicaid,Health care,Medicare,Property taxes,Immigration,Social security,Abortion,Mental health,Islam,September 11 attacks,0.03,6.34,0.2,0.35,0.05,1.36,0,0.52,0.06,0.11,0.23,0.03,0.29,2.18,0.49,0.11,1.15,1.87,1,0.21,0.23,0.03,0,0.03,0.03,0,0.17,0.8,0.26,0.03,0.03,0.06,0.17,0.8,0.11,1.15,0.81,0,0.66,0.17,0.34,0.08,0,0.63,0.25,1.48,0.19,0.54,15.1,0.28,6.89,0.14,2.33,0.11,1.18,2.8,0,0,0,0,1.85,0,0,0.49,0.19,0,15.66,12.02,6,0,0.2,0.31,2.35,0.28,0.49,0.2,0.47,0.25,0.37,0,0,0.89,2.15,0.03,0.14,0.76,0,0.11,1.54,0.98,0.14,0,0.03,0.03,0.14,7.2,1.11,0.03,0,0,0,1.02,0.03,2.59,0.36,0,0.45,6.68,0.08,0.25,0.22,0.09,1.09,0,0.06,1.52,1.07,0.09,0,0.05,1.6,0.11,0.16,0,0.03,0.14,0.26,0.03,0.5
Alabama 2nd,AL-02,AL,Medicaid,Medicare,Social security,Immigration,Flags of the confederate states,Minimum wage,Iraq War,September 11 attacks,Income tax,Common core,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91,0,0,0,0,0,0,0,0,0,3.89,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,3.83,0,11.26,0,3.97,7.51,0,0,0,0,0,0,0,0,0,0,0,0,23.29,22.25,3.76,0,0,0,7.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.44,0,0,0,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama 3rd,AL-03,AL,Health care,Mental health,Islam,Immigration,Abortion,Medicare,Social security,Medicaid,Property taxes,September 11 attacks,0.12,5.68,0.37,0.8,0.3,0.98,0.13,0.49,0.06,0.31,0.25,0.2,0.46,2.87,0.26,0.19,2.81,1.43,1.61,0.33,0.59,0.06,0,0.13,0,0,0.12,0.26,0.13,0,0.33,0,0.06,1.75,0.26,0.86,0.59,0,0.39,0.12,0.06,0.19,0,2.22,0.37,2.39,0.24,0.45,11.84,0.25,7.35,0.19,1.45,0.25,1.11,7.55,0,0.19,0.06,0,1.47,0,0.06,0.61,0.8,0,3.68,4.48,8.48,0.12,0.07,0.19,2.33,0.19,1.1,0.13,1.94,1.06,0.44,0.06,0,1.36,2.18,0,0,0.49,0.06,0,1.07,0.92,0,0.06,0,0.06,0.55,3.63,1.59,0.06,0,0,0,0.25,0.25,3.03,0.25,0,0.57,3.96,0.06,0.25,0.06,0.32,0.94,0,0,2.44,2.1,0.32,0,0,3.02,0,0.43,0,0.19,0.43,0.13,0,1.68
Alabama 4th,AL-04,AL,Medicaid,Health care,Medicare,Immigration,Social security,Mental health,Abortion,Nuclear power,Property taxes,September 11 attacks,0.04,5.04,0.24,0.56,0.04,0.82,0.14,0.46,0.04,0.23,0.35,0.02,0.31,1.93,0.4,0.13,2.55,0.86,1.2,0.07,0.58,0,0,0.02,0.02,0,0.13,0.61,0.51,0,0.53,0.11,0.09,0.51,0.07,1.75,0.81,0.04,0.46,0.11,0.9,0.21,0,0.88,0.94,1.15,0.41,0.56,11.05,0.36,8.1,0.26,2.43,0.34,0.94,2.53,0,0,0.02,0,1.83,0.02,0.04,0.66,0.81,0,11.41,9.71,5.8,0.02,0.13,0.34,2.25,0.35,1.21,0.36,1,1.06,0.97,0,0,3.65,2.08,0.02,0,0.58,0.15,0.21,2.01,0.83,0.09,0.06,0.02,0,0.06,3.61,0.76,0.06,0,0,0.07,0.65,0.1,3.21,0.48,0,0.62,7.62,0.02,0.31,0.19,0.04,1.62,0,0.02,1.92,1.28,0.09,0,0.04,2.05,0.02,0.25,0.11,0.06,0.5,0.59,0,0.42
Alabama 5th,AL-05,AL,Medicaid,Health care,Medicare,Immigration,Social security,Mental health,Abortion,Nuclear power,Property taxes,September 11 attacks,0.04,5.04,0.24,0.56,0.04,0.82,0.14,0.46,0.04,0.23,0.35,0.02,0.31,1.93,0.4,0.13,2.55,0.86,1.2,0.07,0.58,0,0,0.02,0.02,0,0.13,0.61,0.51,0,0.53,0.11,0.09,0.51,0.07,1.75,0.81,0.04,0.46,0.11,0.9,0.21,0,0.88,0.94,1.15,0.41,0.56,11.05,0.36,8.1,0.26,2.43,0.34,0.94,2.53,0,0,0.02,0,1.83,0.02,0.04,0.66,0.81,0,11.41,9.71,5.8,0.02,0.13,0.34,2.25,0.35,1.21,0.36,1,1.06,0.97,0,0,3.65,2.08,0.02,0,0.58,0.15,0.21,2.01,0.83,0.09,0.06,0.02,0,0.06,3.61,0.76,0.06,0,0,0.07,0.65,0.1,3.21,0.48,0,0.62,7.62,0.02,0.31,0.19,0.04,1.62,0,0.02,1.92,1.28,0.09,0,0.04,2.05,0.02,0.25,0.11,0.06,0.5,0.59,0,0.42
Alabama 6th,AL-06,AL,Health care,Medicare,Medicaid,Social security,Mental health,Immigration,Property taxes,Nuclear power,Abortion,Minimum wage,0.13,4.18,0.26,2.25,0,0.66,0,0.39,0,0.27,0.13,0,0.83,2.14,0.55,0,1.61,1.78,1.36,0.14,0.28,0,0.41,0,0,0,0.13,3.22,0.14,0,1.49,0.14,0,0.39,0,1.69,1.23,0,1.08,0.26,0.27,0,0,0.13,0.91,1.2,0.9,0.81,16.17,0.27,7.73,0.27,2.08,0,3.25,3.11,0,0,0,0,1.03,0,0,0.78,0.13,0,11.33,14.65,8.28,0,0,0.4,4.13,0.27,1.23,0.42,1.58,0.66,0.13,0,0,4.99,1.59,0.14,0,0.64,0,0,2.14,1.04,0.27,0,0,0.13,0.13,5.6,0.41,0.13,0,0.13,0,0,0.26,1.96,1.06,0,0.53,9.04,0,2.86,0.27,0,1.32,0,0,1.67,2.34,0.14,0,0,1.57,0.14,0,1.22,0.13,0.13,0.56,0,0.39
Alabama 7th,AL-07,AL,Health care,Medicaid,Medicare,Social security,Immigration,Abortion,Mental health,Capital punishment,Islam,National Security Agency,2.9,6.99,0.1,0.24,0.01,1.26,0.02,0.29,0.01,0.08,0.2,0.01,0.17,5.86,0.33,0.04,1.38,4.11,3.35,0.04,0.12,0.01,0.01,0.04,0.01,0.01,0.13,1.09,0.18,0,0.11,0.05,0.06,0.2,0.07,0.89,2.38,0.03,0.32,0.1,0.16,0.09,0,0.46,0.16,0.41,0.25,0.2,12.6,0.09,7.63,0.12,1.19,1.01,1.31,4.73,0,0.01,0,0,0.77,0.02,0.02,0.28,0.28,0,12.52,12.19,6.94,0.02,0.08,0.21,1.19,0.16,0.43,0.2,4.11,0.48,0.06,0.01,0,0.75,2.06,0.01,0.02,2.41,0.01,0.08,1.91,1.21,0.09,0.01,0,0.03,0.06,2.89,0.33,0.02,0.01,0,0.02,0.36,0.06,2.76,0.18,0,0.2,7.67,0.02,0.07,0.09,0.09,0.56,0,0.01,1.83,0.51,0.06,0,0,1.56,0.05,0.12,0.03,0.07,0.09,0.19,0.01,0.31
Arkansas 1st,AR-01,AR,Health care,Medicare,Immigration,Social security,Mental health,Abortion,Medicaid,Islam,Planned Parenthood,Property taxes,0.02,5.04,0.11,0.53,0.03,0.59,0.1,0.17,0.02,0.42,0.29,0.01,0.3,2.07,2.03,0.11,1.27,2.9,0.99,0.42,0.63,0.02,0.07,0.01,0,0,0.28,0.66,0.22,0,0.12,0.07,0.16,0.35,0.04,1.59,0.71,0.06,0.27,0.12,0.13,0.12,0,0.76,0.45,0.81,0.35,0.28,20.41,0.33,8.27,0.21,2.52,0.18,0.75,3.89,0,0.01,0.03,0,1.25,0,0.07,0.44,0.21,0,4.03,10.94,5.78,0.05,0.09,0.19,2.99,0.24,0.79,0.11,0.59,0.27,0.38,0.03,0,1.26,1.74,0.05,0.02,0.79,0.04,0.09,2.14,3.36,0.56,0.03,0.02,0.01,0.04,3.24,0.69,0.06,0,0,0,0.7,0.07,2.3,0.25,0,0.44,6.94,0.03,0.24,0.09,0.19,1.38,0,0.06,1.18,0.92,0.13,0,0.01,1.49,0.06,0.68,0.05,0.06,0.31,0.56,0.01,1.07
Arkansas 2nd,AR-02,AR,Health care,Medicaid,Medicare,Mental health,Immigration,Social security,Property taxes,Abortion,Minimum wage,Islam,0.02,5.25,0.29,0.51,0.02,1.07,0.06,0.36,0.03,0.14,0.25,0.02,0.56,1.84,2.26,0.03,1.05,1.75,1.45,0.18,1.13,0,0.13,0.05,0.02,0.04,0.26,0.77,0.32,0.02,0.16,0.11,0.27,0.66,0.02,1.61,1.08,0.03,0.77,0.1,0.17,0.1,0,0.89,0.38,0.82,0.22,0.32,15.9,0.39,7.61,0.27,2.55,0.23,0.92,2.77,0,0,0.03,0,1.6,0.05,0,0.87,0.34,0,12.98,12.07,8.28,0.03,0.13,0.6,4.81,0.19,0.68,0.25,0.44,0.5,0.21,0,0,1.64,2.55,0.02,0.07,0.58,0.21,0.22,1.84,1.41,0.04,0.11,0.03,0.02,0.07,6.59,0.53,0.07,0,0,0.02,0.7,0.29,2.46,0.48,0,0.39,6.66,0.05,0.05,0.16,0.04,1.59,0,0.23,1.44,1.17,0.04,0,0.03,2.14,0.11,0.41,0.05,0.04,0.14,0.29,0,0.71
