District,Code,State,FIRST,SECOND,THIRD,FOURTH,FIFTH,SIXTH,SEVENTH,EIGHTH,NINTH,TENTH,2003 Invasion of Iraq,Abortion,Abortion-rights movement,Affirmative action,Agricultural subsidies,Aid,Alternative energy,Anti-abortion movements,Basic income,Body worn video,Campaign finance,Campus sexual assault,Capital gains tax,Capital punishment,Charter schools,Chelsea Manning,Climate change,Common core,Confederate states,Corporate tax,DACA,Dakota Access pipeline,Dream act,Drug policy,Drug testing welfare recipients,Economic stimulus,Edward Snowden,Electoral college,Electoral fraud,Electronic Classroom of Tomorrow,Eminent domain,Equal pay for equal work,Estate tax in the United States,Euthanasia,Executive Order 13769,Federal reserve system,First amendment,Flag desecration,Flags of the confederate states,Free trade,Freedom of religion,Gender identity,Gender workplace diversity,Genetically modified organism,Gerrymandering,Global warming,Government spending,Gun control,Health care,Hydraulic fracturing,Immigration,Immigration to the United States,Income tax,Iraq War,ISIS,Islam,Israel boycott,Joint Comprehensive Plan of Action (Iran Deal),Labor Unions in the United States,Legal history of cannabis in the United States,Legality of cannabis,LGBT adoption rights,LGBT rights,Lobbying,Lockheed Martin F-35,Maternity leave in the United States,Medicaid,Medicare,Mental health,Mexico-United States barrier,Military budget,Military service,Minimum wage,NAFTA,National Debt of the United States,National security,National Security Agency,NATO,Net neutrality,No fly list,North Korea and weapons of mass destruction,Nuclear power,Obamacare,Offshore bank,Offshore drilling,Overtime pay,Paris Agreement,Patriot act,Pensions,Planned Parenthood,Political corruption,Prescription costs,PRISM,Prison overcrowding,Private Prisons,Property taxes,Public transportation,Right to work,Russian interference in the 2016 United States elections,Russian military action in Syria,Safe spaces,Same-sex marriage,Sanctuary cities,September 11 attacks,Sick leave,Single-payer healthcare,Social programs in the United States,Social security,Solitary confinement,Space exploration,Student loans in the United States,Syrian civil war,Tariff,Tax Cuts and Jobs Act of 2017,Term limits in the United States,Terrorism,Torture,TPP,Transgender people in the military,U.S. national anthem protests,United Nations,Vaccine controversies,Voter turnout,Voting age,War in Afghanistan,Welfare,Whistleblower,Women in combat,Women's health
Alaska At-Large,AK-AL,AK,Health care,Medicaid,September 11 attacks,Mental health,Immigration,Property taxes,Medicare,Minimum wage,Tariff,Abortion,0.55,3.83,0.07,0.12,0.01,0.94,0.03,0.1,0.05,0.04,0.05,0.01,0.58,1.97,1.12,0.02,1.16,1.85,1.2,0.06,0.05,0.01,0.01,0.01,0,0,0.09,0.54,0,0,0.11,0.03,0.26,0.19,0.56,0.95,0.2,0,0.84,0.02,0.06,0.63,0,1.43,0.06,0.81,0.13,0.27,12.2,0.38,6.13,0.11,3.68,0.08,1.17,2.17,0,0.01,0.01,0,0.49,0,0.01,0.3,1.24,0,11.53,5.09,9.98,0.22,0.09,0.23,4.7,0.77,0.17,0.09,0.41,0.27,0.43,0.01,0,1.51,1.12,0.04,0.04,1.47,0.36,0.04,1.67,3.25,0.01,0.01,0,0.02,0.01,5.33,0.83,0.02,0.01,0.02,0.05,1.05,0.03,11.49,0.59,0,0.33,3.76,0.02,0.04,0.06,0.24,4.55,0,0,1.12,1.31,0.04,0,0,2.2,0.02,0.05,0.01,0.71,0.07,0.37,0.03,1.1
Alabama 1st,AL-01,AL,Medicaid,Health care,Medicare,Immigration,Property taxes,Social security,September 11 attacks,Mental health,Abortion,Tariff,0.35,3.76,0.02,0.36,0.01,1.17,0.11,0.15,0.01,0.05,0.21,0.02,0.14,1.29,0.79,0.02,0.55,2.04,1.08,0.14,0.1,0,0,0.03,0,0,0.19,0.48,0,0,0.09,0.05,0.13,0.14,0,0.78,1.26,0.02,1.03,1.65,0.27,0.03,0,0.59,0.22,0.61,0.04,0.1,13.15,0.39,5.23,0.13,1.39,0.53,0.65,2.29,0,0,0,0,0.48,0,0,0.07,0.09,0,18.46,8.07,4.1,0.03,0.03,0.58,3.5,0.63,0.18,0.2,0.38,0.17,0.05,0,0,1.63,1.43,0.01,0.02,0.77,0.04,0.23,1.4,0.42,0,0.01,0,0,0.04,5.22,1.39,0.02,0,0,0.01,0.54,0.01,4.66,0.19,0,0.2,5.13,0,0.08,0.43,0.25,3.75,0,0.07,1.27,1.35,0.01,0,0,1.34,0.01,0.03,0.22,0.01,0.07,0.54,0,1.3
Alabama 2nd,AL-02,AL,Medicaid,Health care,Mental health,Medicare,Immigration,Abortion,September 11 attacks,Property taxes,Social security,Islam,0.12,6.1,0.06,0.23,0,1.37,0.19,0.4,0.03,0.06,0.27,0,0.35,2.86,0.44,0.06,0.98,2.85,2.2,0.26,0.3,0,0.03,0,0.03,0.03,0.28,1,0.06,0,0.06,0.19,0.22,0.25,0.12,0.92,0.83,0,0.53,0.12,0.31,0.09,0,0.54,0.3,0.66,0.18,0.5,18.87,0.06,7.89,0.47,2.61,0.53,1.72,2.97,0.03,0.06,0,0,0.84,0,0.03,0.84,1.36,0,19.41,8.65,10.61,0,0.27,0.69,2.45,0.31,0.66,1.85,1.44,1.27,0.27,0,0,1.4,2.32,0.09,0.03,0.63,0.09,0,1.77,0.33,0.18,0.03,0,0.06,0.03,5.5,0.88,0,0.06,0.06,0,0.27,0.06,5.94,0.51,0,0.51,4.93,0.06,0.03,0.15,0.09,2.22,0,0.03,2.61,1.04,0.25,0,0.03,2.9,0,0.09,0,0.06,0.12,0.47,0,0.72
Alabama 3rd,AL-03,AL,Health care,Mental health,Medicaid,Immigration,September 11 attacks,Medicare,Property taxes,Abortion,Social security,Islam,0.26,4.55,0.06,0.91,0,0.7,0.06,0.12,0.23,0,0.29,0.21,0.38,2.33,0.49,0.03,1.55,1.85,1.71,0.59,0.11,0,0.09,0.03,0,0,0.18,0.15,0.03,0,0.09,0.38,0.12,0.81,0.09,2.27,1.52,0.03,0.72,0.03,0.27,0.03,0,1.38,0.32,0.67,0.18,0.49,10.72,0.24,6.81,0.4,1.85,0.4,1.32,3.32,0,0,0,0,1.41,0.45,0,0.32,0.35,0,7.62,5.8,8.82,0.03,0.06,0.73,2.26,0.78,0.66,0.72,0.64,0.79,0.12,0,0,2.77,1.63,0,0.06,0.49,0.06,0.26,0.67,1.11,0.03,0,0,0,0.06,4.69,0.73,0,0,0,0,0.62,0,6.8,0.17,0,0.18,3.7,0.03,0.09,0.12,0.11,2.35,0,0,1.52,0.83,0.18,0,0,2.78,0.24,0.11,0,0,0.39,0.45,0,0.95
Alabama 4th,AL-04,AL,Medicaid,Health care,Medicare,September 11 attacks,Social security,Immigration,Income tax,Mental health,Minimum wage,Abortion,0.5,3.29,0.4,0.49,0,0.8,0,0,0,0.21,0.2,0,0.22,0.69,0,0,0.21,2.62,1.85,0.22,0,0,0,0.21,0,0,0,1.19,0,0,0,0,0,1.17,0,1.12,1.97,0.29,1.71,0,1.1,0,0,3.02,0.2,0,0.29,0.59,10.98,0.59,5.63,0.2,3.96,0.2,0.79,1.83,0,0,0,0,1.24,0,0.2,0,0.29,0,16.3,8.53,3.93,0.2,0,0,3.4,0,0.5,0,1.74,0,0,0,0,0.49,1.71,0,0.2,0.4,0,0,2.1,0.92,0.29,0,0,0,0,3.1,0,0,0,0,0,1.3,0,5.82,0,0,0.3,5.65,0,0,0,0,1.68,0,0,0.76,1.32,0,0,0,2.42,0,0.4,0,0,0,0,0,0
Alabama 5th,AL-05,AL,Social security,Medicare,Health care,Medicaid,Property taxes,Pensions,September 11 attacks,Mental health,NATO,Income tax,0.22,3.39,0.06,0.51,0.01,0.82,0.01,0.11,0.01,0.1,0.29,0.01,1.5,1.18,0.66,0.01,0.87,1.24,1.64,0.13,0.39,0.01,0.01,0.01,0,0.02,0.18,0.65,0.03,0,0.05,0.06,0.31,0.55,0.22,1.96,0.62,0,0.7,0.04,0.41,0.04,0,0.46,0.31,0.65,0.57,0.38,7.69,0.1,3.31,0.32,3.63,0.85,1.06,1.27,0.01,0.01,0.03,0.01,0.52,0,0.01,0.32,1.87,0,7.34,8.89,4.63,0.2,1.21,0.78,2.19,0.14,0.93,1.3,3.53,4.01,0.29,0,0,2.17,1.1,0.01,0.01,1.14,0.06,0.1,6.33,0.37,0.13,0.02,0,0.02,0.02,6.45,0.76,0.04,0,0.23,0.06,0.26,0.03,5.69,1.31,0,0.38,14.98,0.03,0.94,0.22,0.1,2.82,0,0.05,3.42,1.09,0.34,0,0.03,1.72,0,0.23,0.05,0.3,0.14,0.78,0,0.65
Alabama 6th,AL-06,AL,Health care,Medicaid,Medicare,Mental health,Immigration,Social security,Property taxes,Abortion,September 11 attacks,Tariff,0.01,4.08,0.11,0.3,0.04,0.63,0.03,0.11,0.01,0.24,0.1,0.02,0.41,1.26,0.39,0.04,0.28,1.71,1.52,0.17,0.45,0.01,0.01,0.08,0.01,0.02,0.15,0.29,0.01,0,0.14,0.08,0.17,0.43,0.11,1.54,0.9,0.02,0.74,0.15,0.25,0.21,0,0.64,0.19,0.57,0.14,0.34,15.81,0.26,4.31,0.34,1.97,0.21,0.72,2.37,0,0.02,0.01,0,0.84,0.01,0.01,0.55,0.22,0,9.99,6.95,6.29,0.02,0.07,0.32,2.33,0.31,0.33,0.09,1.2,0.5,0.18,0.01,0,1.92,1.77,0.02,0.04,0.73,0.06,0.18,1.74,0.81,0.09,0.03,0.02,0,0.07,4.12,0.93,0.08,0,0.04,0.01,0.85,0.11,3.95,0.34,0,0.33,4.16,0.03,0.11,0.1,0.04,2.51,0,0.04,0.9,0.94,0.08,0,0,1.15,0.07,0.1,0.09,0.04,0.15,0.51,0,0.57
Alabama 7th,AL-07,AL,Health care,Medicaid,Mental health,Medicare,Immigration,Abortion,September 11 attacks,Social security,Property taxes,Income tax,0.06,5.68,0.14,0.2,0.01,0.8,0.07,0.28,0.07,0.14,0.23,0.07,0.35,2.03,0.53,0.04,0.84,2.14,1.82,0.25,0.38,0,0.01,0.04,0.01,0.02,0.25,0.68,0.07,0,0.24,0.15,0.14,0.32,0.14,1.61,1.25,0.03,0.65,0.17,0.36,0.15,0,0.68,0.2,0.73,0.18,0.39,17.9,0.29,5.9,0.35,2.95,0.34,1.17,2.56,0.01,0.03,0,0,1.04,0,0.03,0.69,0.65,0,12.63,6.61,8.13,0.02,0.15,0.44,2.69,0.41,0.43,0.72,1.29,0.88,0.26,0,0,1.47,2.05,0.04,0.07,0.87,0.13,0.13,1.85,0.79,0.09,0.03,0.01,0.04,0.04,3.85,0.8,0.03,0.02,0.03,0.03,0.67,0.07,4.76,0.35,0,0.48,4.25,0.07,0.09,0.16,0.11,2.45,0,0.02,1.78,0.97,0.18,0,0.03,2,0.07,0.12,0.04,0.13,0.24,0.42,0.01,0.73
Arkansas 1st,AR-01,AR,Genetically modified organism,Medicaid,Mental health,Health care,Immigration,September 11 attacks,Islam,Medicare,Property taxes,Social security,0.28,2.62,0,0.5,0,0.51,0,0.25,0,0.26,0,0,0,0.76,1.84,0,1.06,2.63,0.26,0,0,0,0.27,0,0,0,0.25,0.5,0,0,0.8,0,0.26,0,0,0.99,3.88,0.26,0.26,0,1.56,0,0,100,0,0.51,0.25,0.25,8.49,0.52,8.29,0.76,2.26,0,0.25,6.63,0,0,0,0,0.76,0,0,0.25,0,0,13.08,6.29,9.76,0,0,0.25,4.13,0,0.26,0,1.01,0.51,0,0,0,3.28,2.28,0,0,1.25,0.25,0,1.77,0.75,0,0,0,0,0.76,5.65,0.49,0,0,0,0.25,0.51,0,6.77,0.26,0,0,4.47,0.25,0.5,0.25,0,2.25,0,0.25,1.49,1.54,0,0,0,1.54,0,0,0,0.25,0.51,0.78,0,0.25
Arkansas 2nd,AR-02,AR,Genetically modified organism,Medicaid,Health care,Mental health,Medicare,Immigration,September 11 attacks,Minimum wage,Property taxes,Islam,0.18,3.65,0.04,0.42,0,0.82,0,0.25,0,0.27,0.21,0.04,0.27,1.44,1.36,0,1.69,2.38,0.93,0.14,0.25,0,0.39,0.04,0,0,0.35,0.55,0,0.04,0.45,0.09,0.17,0.75,0.21,1.63,2.33,0.13,0.52,0.17,1.35,0,0,50.21,0.21,1.19,0.47,0.25,11.05,0.52,6.8,0.63,2.19,0.04,0.38,4.92,0.04,0,0,0,0.76,0,0.04,0.38,0.13,0,11.52,7.11,10.96,0,0,0.17,5.08,0.17,0.18,0.09,0.8,0.42,0.17,0,0,2.65,1.99,0,0.08,1.05,0.26,0.08,1.31,1.02,0.04,0,0,0.04,0.51,5.08,0.33,0.04,0,0,0.13,0.73,0.04,6.02,0.21,0,0.36,4.69,0.13,0.42,0.26,0,2.59,0,0.21,1.46,1.41,0,0,0.04,2.37,0.09,0,0,0.21,0.47,0.66,0,0.51
