Ranking of each main debate candidate during the 8/6 GOP Debate,,,,,,,,,,
Time,Jeb Bush,Ben Carson,Chris Christie,Ted Cruz,Mike Huckabee,John Kasich,Rand Paul,Marco Rubio,Donald Trump,Scott Walker
8/6 20:56 EST,4,2,8,3,10,6,7,5,1,9
8/6 21:04 EST,3,2,7,5,10,8,6,4,1,9
8/6 21:12 EST,6,5,3,1,9,10,4,7,2,8
8/6 21:20 EST,2,6,8,5,10,3,4,7,1,9
8/6 21:28 EST,6,4,9,3,10,5,8,2,1,7
8/6 21:36 EST,6,5,3,2,10,8,4,7,1,9
8/6 21:44 EST,4,1,10,6,7,9,3,5,2,8
8/6 21:52 EST,4,2,8,5,10,6,7,3,1,9
8/6 22:00 EST,4,1,5,9,10,3,8,6,2,7
8/6 22:08 EST,6,3,4,8,5,9,7,2,1,10
8/6 22:16 EST,5,2,10,9,6,8,4,3,1,7
8/6 22:24 EST,2,4,8,7,10,3,6,5,1,9
8/6 22:32 EST,7,2,10,4,9,3,5,6,1,8
8/6 22:40 EST,10,1,7,4,3,6,5,8,2,9
8/6 22:48 EST,8,3,9,4,10,2,7,5,1,6
8/6 22:56 EST,8,1,9,6,9,2,7,4,3,5
8/6 23:04 EST,4,2,8,6,10,7,5,3,1,9
