City,Region,Country,Place combined,"""Help Nepal"", Indexed search interest (1-100)",Time (in GMT)
Pokhara,Western Region,Nepal,"Pokhara, Nepal",0,4/25/15 4:06
Butwal,Western Region,Nepal,"Butwal, Nepal",9,4/25/15 6:35
Lemelerveld,Overijssel,Netherlands,"Lemelerveld, Netherlands",25,4/25/15 6:43
Seoul,Gyeonggi-do,South Korea,"Seoul, South Korea",0,4/25/15 6:43
Wythenshawe,England,United Kingdom,"Wythenshawe, United Kingdom",1,4/25/15 6:59
Dinnington,England,United Kingdom,"Dinnington, United Kingdom",1,4/25/15 7:06
Watford,England,United Kingdom,"Watford, United Kingdom",2,4/25/15 7:08
Long Buckby,England,United Kingdom,"Long Buckby, United Kingdom",7,4/25/15 7:13
Lilleriüd,Capital Region of Denmark,Denmark,"Lilleriüd, Denmark",9,4/25/15 7:16
Mumbai,Maharashtra,India,"Mumbai, India",0,4/25/15 7:20
Glasgow,Scotland,United Kingdom,"Glasgow, United Kingdom",0,4/25/15 7:24
Vantaa,Uusimaa,Finland,"Vantaa, Finland",1,4/25/15 7:31
Mumbai,Maharashtra,India,"Mumbai, India",0,4/25/15 7:38
Oslo,Oslo,Norway,"Oslo, Norway",0,4/25/15 7:43
Khobar,Eastern Province,Saudi Arabia,"Khobar, Saudi Arabia",0,4/25/15 7:44
Oppegi´rd,Akershus,Norway,"Oppegi´rd, Norway",20,4/25/15 7:44
Oberhausen,North Rhine-Westphalia,Germany,"Oberhausen, Germany",2,4/25/15 7:51
New York,New York,United States,"New York, United States",0,4/25/15 7:52
Argentona,Catalonia,Spain,"Argentona, Spain",33,4/25/15 8:00
China Lake Acres,California,United States,"China Lake Acres, United States",100,4/25/15 8:03
Liverpool,England,United Kingdom,"Liverpool, United Kingdom",0,4/25/15 8:06
Dhaka,Dhaka Division,Bangladesh,"Dhaka, Bangladesh",0,4/25/15 8:12
Mumbai,Maharashtra,India,"Mumbai, India",0,4/25/15 8:12
Amsterdam,North Holland,Netherlands,"Amsterdam, Netherlands",0,4/25/15 8:22
Sinsheim,Baden-Wurttemberg,Germany,"Sinsheim, Germany",8,4/25/15 8:23
Salwa,Hawally Governorate,Kuwait,"Salwa, Kuwait",33,4/25/15 8:24
Ho Chi Minh City,Ho Chi Minh City,Vietnam,"Ho Chi Minh City, Vietnam",0,4/25/15 8:27
Wythenshawe,England,United Kingdom,"Wythenshawe, United Kingdom",0,4/25/15 8:32
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 8:35
Auckland,Auckland,New Zealand,"Auckland, New Zealand",0,4/25/15 8:36
New Delhi,Delhi,India,"New Delhi, India",0,4/25/15 8:37
Cedar Rapids,Iowa,United States,"Cedar Rapids, United States",25,4/25/15 8:38
Thana Shankar Dwari,Uttar Pradesh,India,"Thana Shankar Dwari, India",3,4/25/15 8:40
Sydney,New South Wales,Australia,"Sydney, Australia",0,4/25/15 8:48
Minato,Tokyo,Japan,"Minato, Japan",0,4/25/15 8:49
Sydney,New South Wales,Australia,"Sydney, Australia",0,4/25/15 8:51
Hoogvliet Rotterdam,South Holland,Netherlands,"Hoogvliet Rotterdam, Netherlands",9,4/25/15 8:55
Helsinki,Uusimaa,Finland,"Helsinki, Finland",0,4/25/15 8:55
Toronto,Ontario,Canada,"Toronto, Canada",0,4/25/15 8:55
Preston,England,United Kingdom,"Preston, United Kingdom",10,4/25/15 8:59
Fargo,North Dakota,United States,"Fargo, United States",14,4/25/15 9:00
Maasbree,Limburg,Netherlands,"Maasbree, Netherlands",50,4/25/15 9:01
Dortmund,North Rhine-Westphalia,Germany,"Dortmund, Germany",0,4/25/15 9:02
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 9:07
Lagos,Lagos,Nigeria,"Lagos, Nigeria",0,4/25/15 9:10
Liverpool,England,United Kingdom,"Liverpool, United Kingdom",0,4/25/15 9:12
Madrid,Community of Madrid,Spain,"Madrid, Spain",0,4/25/15 9:12
Saint-Genis-Pouilly,Rhone-Alpes,France,"Saint-Genis-Pouilly, France",14,4/25/15 9:14
Cedar Rapids,Iowa,United States,"Cedar Rapids, United States",33,4/25/15 9:15
Norwich,England,United Kingdom,"Norwich, United Kingdom",1,4/25/15 9:16
Sulaymaniyah,Sulaymaniyah,Iraq,"Sulaymaniyah, Iraq",2,4/25/15 9:17
Port Vila,Shefa Province,Vanuatu,"Port Vila, Vanuatu",17,4/25/15 9:19
Heerde,Gelderland,Netherlands,"Heerde, Netherlands",33,4/25/15 9:21
New Delhi,Delhi,India,"New Delhi, India",0,4/25/15 9:21
Osmanabad,Maharashtra,India,"Osmanabad, India",20,4/25/15 9:24
Yokohama,Kanagawa Prefecture,Japan,"Yokohama, Japan",0,4/25/15 9:26
Kyoto,Kyoto Prefecture,Japan,"Kyoto, Japan",0,4/25/15 9:27
Edinburgh,Scotland,United Kingdom,"Edinburgh, United Kingdom",0,4/25/15 9:29
Thornton Dale,England,United Kingdom,"Thornton Dale, United Kingdom",7,4/25/15 9:29
Clayton-le-Woods,England,United Kingdom,"Clayton-le-Woods, United Kingdom",1,4/25/15 9:30
Binghamton,New York,United States,"Binghamton, United States",50,4/25/15 9:34
Cebu City,Central Visayas,Philippines,"Cebu City, Philippines",0,4/25/15 9:34
Madrid,Community of Madrid,Spain,"Madrid, Spain",0,4/25/15 9:36
New Delhi,Delhi,India,"New Delhi, India",0,4/25/15 9:38
Clayton-le-Woods,England,United Kingdom,"Clayton-le-Woods, United Kingdom",1,4/25/15 9:43
New Delhi,Delhi,India,"New Delhi, India",0,4/25/15 9:44
New Delhi,Delhi,India,"New Delhi, India",0,4/25/15 9:45
Sydney,New South Wales,Australia,"Sydney, Australia",0,4/25/15 9:46
Bangkok,Bangkok,Thailand,"Bangkok, Thailand",0,4/25/15 9:47
Johor Bahru,Johor,Malaysia,"Johor Bahru, Malaysia",0,4/25/15 9:47
New Delhi,Delhi,India,"New Delhi, India",0,4/25/15 9:48
Llanrhaeadr-ym-Mochnant,Wales,United Kingdom,"Llanrhaeadr-ym-Mochnant, United Kingdom",7,4/25/15 9:50
Seaford,England,United Kingdom,"Seaford, United Kingdom",33,4/25/15 9:50
South Shields,England,United Kingdom,"South Shields, United Kingdom",3,4/25/15 9:50
Nagoya,Aichi Prefecture,Japan,"Nagoya, Japan",0,4/25/15 9:52
Los Angeles,California,United States,"Los Angeles, United States",0,4/25/15 9:53
Upplands Vissby,Stockholm County,Sweden,"Upplands Vissby, Sweden",11,4/25/15 9:53
New York,New York,United States,"New York, United States",0,4/25/15 9:54
Oxford,England,United Kingdom,"Oxford, United Kingdom",1,4/25/15 9:54
Warrenton,Virginia,United States,"Warrenton, United States",33,4/25/15 9:54
Kumagaya,Saitama Prefecture,Japan,"Kumagaya, Japan",4,4/25/15 9:55
Blackman,Michigan,United States,"Blackman, United States",100,4/25/15 9:57
Helsinki,Uusimaa,Finland,"Helsinki, Finland",0,4/25/15 9:57
Kolkata,West Bengal,India,"Kolkata, India",0,4/25/15 9:57
Wellington,Wellington,New Zealand,"Wellington, New Zealand",1,4/25/15 9:59
Yokohama,Kanagawa Prefecture,Japan,"Yokohama, Japan",0,4/25/15 9:59
Bishkek,Chuy Province,Kyrgyzstan,"Bishkek, Kyrgyzstan",0,4/25/15 10:00
New Delhi,Delhi,India,"New Delhi, India",0,4/25/15 10:01
