Ranking of each early debate candidate during the 8/6 GOP early debate,,,,,,,
Time,Carly Fiorina,Jim Gilmore,Lindsey Graham,Bobby Jindal,George Pataki,Rick Perry,Rick Santorum
8/6 16:40 EST,1,6,5,3,6,2,4
8/6 16:48 EST,1,6,2,3,7,4,5
8/6 16:56 EST,1,6,4,3,6,2,5
8/6 17:04 EST,1,6,3,2,4,7,5
8/6 17:12 EST,1,6,2,3,7,4,5
8/6 17:20 EST,1,5,4,7,3,5,2
8/6 17:28 EST,1,7,4,5,6,3,2
8/6 17:36 EST,2,5,3,1,6,7,4
8/6 17:44 EST,1,7,4,6,5,2,3
8/6 17:52 EST,1,4,2,7,6,5,3
8/6 18:00 EST,1,7,2,3,4,5,6
8/6 18:08 EST,2,7,1,5,6,4,3
8/6 18:16 EST,2,5,1,4,3,6,7
8/6 18:24 EST,1,3,2,5,5,4,7
