"Search interest in the Panama Papers from Apr 1 to Apr 4, 2016. All values indexed to 100, where 100 is the max search interest.",,
Country,Interest,Rank
Uganda,20,95
Malawi,17,105
Barbados,18,102
Norway,15,118
Saint Barth̩lemy,15,120
Greenland,15,117
Morocco,16,114
Kenya,14,129
South Sudan,14,125
United States,14,127
Sierra Leone,15,123
Nepal,15,121
Australia,14,131
Guinea-Bissau,14,133
Nigeria,13,138
Aland Islands,13,137
Ethiopia,13,139
Czech Republic,13,136
Mauritania,13,140
Finland,12,143
Macedonia (FYROM),12,151
Azerbaijan,4,208
Brazil,4,206
Georgia,4,209
Bangladesh,4,205
Mongolia,5,203
Libya,4,207
Myanmar (Burma),4,204
Turkey,4,213
Madagascar,34,38
Montserrat,27,50
Angola,24,69
The Bahamas,24,68
French Polynesia,25,63
Caribbean Netherlands,25,64
Saint Kitts and Nevis,24,71
Zimbabwe,20,90
Ireland,20,89
The Gambia,17,109
South Africa,17,104
India,16,111
Algeria,16,116
Bahrain,12,149
Dominican Republic,11,163
Svalbard and Jan Mayen,7,185
Thailand,4,210
Hungary,3,216
South Korea,3,214
Iraq,1,224
Kazakhstan,1,229
Panama,100,1
Malta,68,8
Nauru,63,9
Aruba,76,5
Democratic Republic of the Congo,69,7
Iceland,71,6
Liechtenstein,95,2
Monaco,93,3
Cura̤ao,46,20
Senegal,54,13
China,50,16
North Korea,48,18
Congo,59,12
Botswana,51,15
Tunisia,47,19
Costa Rica,45,22
C̫te d'Ivoire,42,26
San Marino,39,29
Eritrea,43,25
Gibraltar,45,21
Ṣo Tom̩ and Pr�_ncipe,37,31
Argentina,36,34
Saint Martin,34,39
Cameroon,35,37
France,34,40
Cuba,31,43
Guinea,27,49
Albania,29,48
Maldives,33,41
Gabon,30,46
Benin,26,54
Germany,26,56
Burkina Faso,26,55
Ecuador,26,59
Mexico,25,60
New Caledonia,27,51
Belgium,26,57
Switzerland,26,52
Portugal,23,76
Niger,22,79
Paraguay,24,72
Uruguay,23,75
Vanuatu,23,78
Netherlands,21,87
Peru,21,86
Honduras,20,88
Sint Maarten,21,85
Canada,22,82
Zambia,18,98
Bolivia,18,99
Austria,18,100
Mali,20,92
Nicaragua,12,144
Central African Republic,12,150
Solomon Islands,12,147
United Arab Emirates,13,142
Mozambique,13,141
Greece,12,148
Suriname,12,153
Denmark,12,152
Slovenia,11,158
Pakistan,11,154
Liberia,11,155
Fiji,11,159
Papua New Guinea,11,161
Falkland Islands (Islas Malvinas),10,168
New Zealand,10,167
Italy,10,170
Oman,10,169
Slovakia,10,164
Macau,10,166
Romania,10,165
United Kingdom,11,162
Lithuania,8,180
Indonesia,9,175
Sri Lanka,10,172
Malaysia,9,176
Croatia,9,173
Estonia,8,179
Philippines,8,178
Bosnia and Herzegovina,7,187
Latvia,6,190
Spain,7,188
Cambodia,8,181
Tanzania,6,189
Sweden,8,182
Guyana,7,186
Poland,5,197
Laos,5,199
Serbia,5,200
Bulgaria,6,192
Colombia,6,191
Moldova,5,196
Somalia,6,193
Afghanistan,5,201
Bermuda,43,24
Seychelles,62,10
Sudan,2,219
Saudi Arabia,3,215
Turkmenistan,2,217
Egypt,4,211
Iran,1,223
Syria,1,222
Tajikistan,1,226
Ukraine,1,225
Kyrgyzstan,1,230
Uzbekistan,1,228
Vietnam,1,227
Belarus,0,234
Russia,1,232
Japan,1,233
Yemen,0,235
Guernsey,48,17
British Virgin Islands,53,14
Luxembourg,60,11
Cayman Islands,44,23
Andorra,38,30
Rwanda,37,33
Isle of Man,36,35
Belize,40,28
Togo,42,27
Martinique,35,36
Jersey,37,32
Comoros,29,47
Mauritius,33,42
Singapore,31,44
Faroe Islands,31,45
American Samoa,9,177
Cook Islands,26,53
Reunion,26,58
Djibouti,25,65
French Guiana,24,70
Turks and Caicos Islands,25,61
Guadeloupe,25,62
U.S. Virgin Islands,10,171
El Salvador,24,67
Trinidad and Tobago,24,66
British Indian Ocean Territory,22,81
Antigua and Barbuda,22,83
Cyprus,23,73
Swaziland,23,74
Mayotte,19,96
Cape Verde,22,80
Dominica,23,77
Guatemala,21,84
Haiti,20,94
Burundi,20,93
Saint Pierre and Miquelon,19,97
Grenada,16,112
Equatorial Guinea,20,91
Venezuela,18,103
Namibia,18,101
Ghana,17,106
Chad,17,108
Chile,16,110
Micronesia,17,107
Qatar,16,115
Kosovo,16,113
Timor-Leste,15,119
Marshall Islands,14,128
Puerto Rico,14,126
Saint Lucia,15,122
Saint Helena,14,124
Lesotho,14,130
Samoa,13,134
Lebanon,13,135
Hong Kong,14,132
Brunei Darussalam,12,145
Anguilla,12,146
Guam,11,160
Montenegro,11,156
Saint Vincent and the Grenadines,11,157
Bhutan,9,174
Kuwait,8,184
Palau,6,194
Jamaica,8,183
Northern Mariana Islands,5,202
Western Sahara,6,195
Tonga,2,218
Jordan,5,198
Armenia,2,220
Israel,4,212
Taiwan,2,221
Palestine,1,231
